Respondent_code,Business_Category_(Asset):,Industry Type:,NoOfOperationDays,DailyUsageKW,Cooling&VentilationUsage,Entertainment&AudioEquipmentUsage,Industrial&ManufacturingEquipmentUsage,KitchenEquipmentUsage,Lightning&ElectricalFixtureUsage,Office&ITEquipmentUsage,OtherUsages,Refrigerator&StorageUsage,MonthlyUsageKW_Eqpt,EnergyIntensity,Number_of_Operation_hours,EnergyIntensityBand,UsageRangeBand,HourlyUsageKW,Recommended PV Setup
97,Micro,Services,7,5.9125,0.875,0.025,0.0125,0.1875,2.1875,1.3125,0,1.3125,177.375,1.689285714,15,Lowest,Very Low,1.825,2 kW
55,Micro,Retail,7,5.9625,0.8125,0,0,0,0.0875,0.1875,0,4.875,178.875,1.965659341,13,Lowest,Very Low,1.025,2 kW
88,Micro,Retail,7,5.9625,0.8125,0,0,0,0.0875,0.1875,0,4.875,178.875,1.703571429,15,Lowest,Very Low,1.025,2 kW
124,Micro,Retail,7,5.9625,0.8125,0,0,0,0.0875,0.1875,0,4.875,178.875,1.965659341,13,Lowest,Very Low,1.025,2 kW
85,Small,Hotel and restaurant,7,7.2375,0.8125,0,0,0.175,0.4375,1.3125,0,4.5,217.125,1.723214286,18,Lowest,Very Low,1.175,2 kW
44,Small,Services,7,7.2875,2.1875,0.4375,0.0375,2.1875,1.125,0.1875,0,1.125,218.625,1.301339286,24,Lowest,Very Low,1.825,2 kW
105,Medium,Food and beverages,6,7.35,3.675,0,0,0,3.675,0,0,0,189,2.625,12,Lowest,Very Low,2.1,2 kW
26,Micro,Food and beverages,7,7.6,3.15,2.625,0.175,1.125,0.175,0,0.35,0,228,3.619047619,9,Lowest,Very Low,2.65,2 kW
65,Micro,Food and beverages,7,7.6,3.15,2.625,0.175,1.125,0.175,0,0.35,0,228,3.619047619,9,Lowest,Very Low,2.65,2 kW
78,Micro,Food and beverages,7,7.6,3.15,2.625,0.175,1.125,0.175,0,0.35,0,228,2.961038961,11,Lowest,Very Low,2.65,2 kW
83,Small,Food and beverages,7,9.9,0.1875,0.1625,0,1.625,4.55,0,0,3.375,297,4.242857143,10,Lowest,Very Low,1.475,3 kW
