Respondent_code,Business_Category,Industry Type,NoOfOperationDays,Number_of_Operation_hours,MonthlyUsageKW_Eqpt,Business_Operation_(Day)],Mon,DailyUsageKW],Tue,Wed,Thu,Fri,Sat,Sun
16,Micro,Services,6,10,524.5714286,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",20.4,20.4,20.4,20.4,20.4,20.4,20.4,0
20,Micro,Retail,6,9,575.3571429,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",22.375,22.375,22.375,22.375,22.375,22.375,22.375,0
23,Micro,Manufacturing,5,9,5.625,"Monday, Tuesday, Wednesday, Thursday, Friday",0.2625,0.2625,0.2625,0.2625,0.2625,0.2625,0,0
27,Micro,Retail,5,13,436.6071429,"Monday, Tuesday, Wednesday, Thursday, Friday",20.375,20.375,20.375,20.375,20.375,20.375,0,0
31,Micro,Retail,6,9,43.71428571,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",1.7,1.7,1.7,1.7,1.7,1.7,1.7,0
34,Micro,Retail,6,9,43.71428571,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",1.7,1.7,1.7,1.7,1.7,1.7,1.7,0
36,Micro,Retail,6,11,0.964285714,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0
59,Micro,Manufacturing,3,9,10.44642857,"Friday, Saturday, Sunday",0,0.8125,0,0,0,0.8125,0.8125,0.8125
61,Micro,Manufacturing,3,9,10.44642857,"Friday, Saturday, Sunday",0,0.8125,0,0,0,0.8125,0.8125,0.8125
66,Micro,Services,6,9,410.1428571,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",15.95,15.95,15.95,15.95,15.95,15.95,15.95,0
70,Micro,Retail,6,9,43.71428571,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",1.7,1.7,1.7,1.7,1.7,1.7,1.7,0
71,Micro,Services,3,5,14.46428571,"Friday, Saturday, Sunday",0,1.125,0,0,0,1.125,1.125,1.125
74,Micro,Manufacturing,5,9,5.625,"Monday, Tuesday, Wednesday, Thursday, Friday",0.2625,0.2625,0.2625,0.2625,0.2625,0.2625,0,0
91,Micro,Retail,6,9,0.964285714,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0
101,Micro,Food and beverages,5,9,16.60714286,"Monday, Tuesday, Wednesday, Thursday, Friday",0.775,0.775,0.775,0.775,0.775,0.775,0,0
103,Micro,Manufacturing,5,9,5.625,"Monday, Tuesday, Wednesday, Thursday, Friday",0.2625,0.2625,0.2625,0.2625,0.2625,0.2625,0,0
106,Micro,Retail,6,9,575.3571429,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",22.375,22.375,22.375,22.375,22.375,22.375,22.375,0
113,Micro,Retail,6,11,0.964285714,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0
125,Micro,Retail,5,9,436.6071429,"Monday, Tuesday, Wednesday, Thursday, Friday",20.375,20.375,20.375,20.375,20.375,20.375,0,0
126,Micro,Services,6,9,410.1428571,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",15.95,15.95,15.95,15.95,15.95,15.95,15.95,0
30,Micro,Retail,5,13,436.6071429,"Monday, Tuesday, Wednesday, Thursday, Friday",20.375,20.375,20.375,20.375,20.375,20.375,0,0
57,Micro,Food and beverages,5,9,16.60714286,"Monday, Tuesday, Wednesday, Thursday, Friday",0.775,0.775,0.775,0.775,0.775,0.775,0,0
75,Micro,Food and beverages,5,9,16.60714286,"Monday, Tuesday, Wednesday, Thursday, Friday",0.775,0.775,0.775,0.775,0.775,0.775,0,0
13,Small,Retail,6,9,1162.928571,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",45.225,45.225,45.225,45.225,45.225,45.225,45.225,0
82,Small,Food and beverages,5,9,0,"Monday, Tuesday, Wednesday, Thursday, Friday",0,0,0,0,0,0,0,0
105,Medium,Food and beverages,6,12,189,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",7.35,7.35,7.35,7.35,7.35,7.35,7.35,0
111,Medium,Food and beverages,6,9,46.60714286,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",1.8125,1.8125,1.8125,1.8125,1.8125,1.8125,1.8125,0
117,Small,Services,6,9,50.46428571,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",1.9625,1.9625,1.9625,1.9625,1.9625,1.9625,1.9625,0
10,Micro,Food and beverages,6,8,5.785714286,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",0.225,0.225,0.225,0.225,0.225,0.225,0.225,0
12,Small,Manufacturing,6,5,20.57142857,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",0.8,0.8,0.8,0.8,0.8,0.8,0.8,0
19,Micro,Food and beverages,6,9,5.785714286,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",0.225,0.225,0.225,0.225,0.225,0.225,0.225,0
24,Micro,Services,6,9,0.642857143,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",0.025,0.025,0.025,0.025,0.025,0.025,0.025,0
33,Micro,Food and beverages,6,5,36.64285714,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",1.425,1.425,1.425,1.425,1.425,1.425,1.425,0
39,Micro,Manufacturing,6,12,416.5714286,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",16.2,16.2,16.2,16.2,16.2,16.2,16.2,0
43,Micro,Food and beverages,4,9,336,"Wednesday, Thursday, Friday, Saturday",0,19.6,0,19.6,19.6,19.6,19.6,0
45,Micro,Manufacturing,6,9,416.5714286,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",16.2,16.2,16.2,16.2,16.2,16.2,16.2,0
47,Micro,Food and beverages,6,13,504,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",19.6,19.6,19.6,19.6,19.6,19.6,19.6,0
48,Micro,Agriculture,6,9,375.75,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",14.6125,14.6125,14.6125,14.6125,14.6125,14.6125,14.6125,0
52,Micro,Agriculture,6,9,375.75,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",14.6125,14.6125,14.6125,14.6125,14.6125,14.6125,14.6125,0
63,Micro,Food and beverages,6,11,504,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",19.6,19.6,19.6,19.6,19.6,19.6,19.6,0
64,Micro,Services,6,9,0.642857143,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",0.025,0.025,0.025,0.025,0.025,0.025,0.025,0
77,Micro,Retail,3,4,9,"Friday, Saturday, Sunday",0,0.7,0,0,0,0.7,0.7,0.7
98,Micro,Agriculture,6,9,375.75,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",14.6125,14.6125,14.6125,14.6125,14.6125,14.6125,14.6125,0
107,Micro,Services,6,7,0.642857143,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",0.025,0.025,0.025,0.025,0.025,0.025,0.025,0
114,Micro,Retail,6,9,18,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",0.7,0.7,0.7,0.7,0.7,0.7,0.7,0
123,Micro,Manufacturing,6,9,416.5714286,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",16.2,16.2,16.2,16.2,16.2,16.2,16.2,0
