Respondent_code,Business_Category_(Asset):,Industry Type:,NoOfOperationDays,DailyUsageKW,Cooling&VentilationUsage,Entertainment&AudioEquipmentUsage,Industrial&ManufacturingEquipmentUsage,KitchenEquipmentUsage,Lightning&ElectricalFixtureUsage,Office&ITEquipmentUsage,OtherUsages,Refrigerator&StorageUsage,MonthlyUsageKW_Eqpt,EnergyIntensity,Number_of_Operation_hours,EnergyIntensityBand,UsageRangeBand,HourlyUsageKW
33,Micro,Food and beverages,6,1.425,0.375,0.0125,0.0625,0.125,0.375,0.0375,0.0625,0.375,36.64285714,1.221428571,5,Lowest,Very Low,1.3
35,Micro,Retail,7,0.7,0.0875,0.0875,0.0875,0.0875,0.0875,0.0875,0.0875,0.0875,21,0.333333333,9,Lowest,Very Low,0.2
38,Micro,Food and beverages,7,88.1625,4.0625,0.0375,39,0,5.625,0.4375,39,0,2644.875,53.97704082,7,High,Very Low,13.45
39,Micro,Manufacturing,6,16.2,3.25,0.375,0.5625,1.3125,0.8125,0.375,0.0625,9.45,416.5714286,5.785714286,12,Lowest,Very Low,3.05
41,Micro,Retail,7,1.625,0,0,0,1.05,0.375,0,0.0125,0.1875,48.75,0.49744898,14,Lowest,Very Low,1.1
43,Micro,Food and beverages,4,19.6,1.225,1.225,2.45,3.675,3.675,1.225,3.675,2.45,336,9.333333333,9,Lowest,Very Low,5.6
45,Micro,Manufacturing,6,16.2,3.25,0.375,0.5625,1.3125,0.8125,0.375,0.0625,9.45,416.5714286,7.714285714,9,Lowest,Very Low,3.05
46,Medium,Services,7,330.6,54,54,43.2,10.8,39,54,54,21.6,9918,59.03571429,24,High,High,38.4
47,Micro,Food and beverages,6,19.6,1.225,1.225,2.45,3.675,3.675,1.225,3.675,2.45,504,6.461538462,13,Lowest,Very Low,5.6
48,Micro,Agriculture,6,14.6125,1.625,0.0375,4.875,0,0.0875,0.1875,7.8,0,375.75,6.958333333,9,Lowest,Very Low,2.375
52,Micro,Agriculture,6,14.6125,1.625,0.0375,4.875,0,0.0875,0.1875,7.8,0,375.75,6.958333333,9,Lowest,Very Low,2.375
54,Micro,Services,7,1.425,0.375,0.0125,0.0625,0.125,0.375,0.0375,0.0625,0.375,42.75,0.678571429,9,Lowest,Very Low,1.3
63,Micro,Food and beverages,6,19.6,1.225,1.225,2.45,3.675,3.675,1.225,3.675,2.45,504,7.636363636,11,Lowest,Very Low,5.6
65,Micro,Food and beverages,7,7.6,3.15,2.625,0.175,1.125,0.175,0,0.35,0,228,3.619047619,9,Lowest,Very Low,2.65
77,Micro,Retail,3,0.7,0.0875,0.0875,0.0875,0.0875,0.0875,0.0875,0.0875,0.0875,9,0.75,4,Lowest,Very Low,0.2
78,Micro,Food and beverages,7,7.6,3.15,2.625,0.175,1.125,0.175,0,0.35,0,228,2.961038961,11,Lowest,Very Low,2.65
84,Micro,Retail,7,1.625,0,0,0,1.05,0.375,0,0.0125,0.1875,48.75,0.696428571,10,Lowest,Very Low,1.1
86,Small,Food and beverages,7,0.5,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,15,0.428571429,5,Lowest,Very Low,1
90,Small,Food and beverages,7,2.45,0,0,0,0.35,1.05,0,1.05,0,73.5,0.75,14,Lowest,Very Low,2.125
98,Micro,Agriculture,6,14.6125,1.625,0.0375,4.875,0,0.0875,0.1875,7.8,0,375.75,6.958333333,9,Lowest,Very Low,2.375
108,Micro,Food and beverages,7,88.1625,4.0625,0.0375,39,0,5.625,0.4375,39,0,2644.875,41.98214286,9,High,Very Low,13.45
110,Micro,Retail,7,1.3125,0.675,0.225,0,0,0.1125,0.0375,0.0375,0.225,39.375,0.432692308,13,Lowest,Very Low,0.25
114,Micro,Retail,6,0.7,0.0875,0.0875,0.0875,0.0875,0.0875,0.0875,0.0875,0.0875,18,0.333333333,9,Lowest,Very Low,0.2
122,Micro,Food and beverages,7,88.1625,4.0625,0.0375,39,0,5.625,0.4375,39,0,2644.875,53.97704082,7,High,Very Low,13.45
123,Micro,Manufacturing,6,16.2,3.25,0.375,0.5625,1.3125,0.8125,0.375,0.0625,9.45,416.5714286,7.714285714,9,Lowest,Very Low,3.05
128,Small,Services,7,3.225,0.375,0.0625,0,0.125,0.375,1.05,1.05,0.1875,96.75,1.382142857,10,Lowest,Very Low,2.75
